Journal,Society,Publisher
The Auk,American Ornithological Society,Oxford University Press (OUP)
Ornithology,American Ornithological Society,Oxford University Press (OUP)
Bulletin of the British Ornithologistsâ€™ Club,British Ornithologists' Club,British Ornithologists' Club
Journal of East African Natural History,Nature Kenya/East African Natural History Society,East African Natural History Society
Ardea,Netherlands Ornithologists' Union,Netherlands Ornithologists' Union
Wildlife Biology,Nordic Board for Wildlife Research,Wiley
Ornithological Science,The Ornithological Society of Japan,Ornithological Society of Japan
Journal of Raptor Research,Raptor Research Foundation,"The Raptor Research Foundation, Inc."
The Southwestern Naturalist,Southwestern Association of Naturalists,Southwestern Association of Naturalists
Ardeola,Spanish Society of Ornithology,Ardeola
Waterbirds,The Waterbird Society,Waterbird Society
The Wilson Journal of Ornithology,The Wilson Ornithological Society,Wilson Ornithological Society
Zoological Science,Zoological Society of Japan,Zoological Society of Japan
African Zoology,Zoological Society of Southern Africa,Informa UK Limited
Bulletin of the British Ornithologists' Club,British Ornithologists' Club,British Ornithologists' Club
